STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,GEOID,GEOIDFQ,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
50,025,60250,01462189,5002560250,0600000US5002560250,Rockingham,Rockingham town,43,T1,G4040,A,107252404,2011206,+43.1704749,-072.5065934
50,025,81400,01462253,5002581400,0600000US5002581400,Westminster,Westminster town,43,T1,G4040,A,116613916,669529,+43.0746825,-072.5080568
50,025,84850,01462265,5002584850,0600000US5002584850,Windham,Windham town,43,T1,G4040,A,67581474,211573,+43.1738019,-072.7013584
50,011,59125,01462185,5001159125,0600000US5001159125,Richford,Richford town,43,T1,G4040,A,111194664,707848,+44.9486514,-072.5991568
50,009,10075,01462057,5000910075,0600000US5000910075,Brunswick,Brunswick town,43,T1,G4040,A,64204673,1369700,+44.7196176,-071.6698227
50,027,01300,01462026,5002701300,0600000US5002701300,Andover,Andover town,43,T1,G4040,A,74720639,149987,+43.2926045,-072.7225388
50,027,02575,01462032,5002702575,0600000US5002702575,Baltimore,Baltimore town,43,T1,G4040,A,12314212,23776,+43.3555969,-072.5593588
50,027,32275,01462116,5002732275,0600000US5002732275,Hartford,Hartford town,43,T1,G4040,A,116836775,2282173,+43.6646844,-072.3861377
50,027,52900,01462166,5002752900,0600000US5002752900,Norwich,Norwich town,43,T1,G4040,A,115239694,666795,+43.7776326,-072.3240068
50,027,60100,01462188,5002760100,0600000US5002760100,Rochester,Rochester town,43,T1,G4040,A,147227716,787378,+43.8794083,-072.8316848
50,011,71725,01462225,5001171725,0600000US5001171725,Swanton,Swanton town,43,T1,G4040,A,124899615,34890371,+44.9096192,-073.1238620
50,011,24925,01462092,5001124925,0600000US5001124925,Fairfax,Fairfax town,43,T1,G4040,A,102923828,1498531,+44.7023587,-072.9977533
50,011,61750,01462197,5001161750,0600000US5001161750,St. Albans,St. Albans town,43,T1,G4040,A,96174593,61378223,+44.8113612,-073.1458957
50,015,35050,01462122,5001535050,0600000US5001535050,Hyde Park,Hyde Park town,43,T1,G4040,A,97566215,3498053,+44.6242619,-072.5704166
50,007,24400,02378306,5000724400,0600000US5000724400,Essex Junction,Essex Junction city,25,C5,G4040,F,11833874,499088,+44.4902875,-073.1141209
50,027,70375,01462218,5002770375,0600000US5002770375,Stockbridge,Stockbridge town,43,T1,G4040,A,118581821,708170,+43.7507975,-072.7609138
50,027,77500,01462247,5002777500,0600000US5002777500,Weathersfield,Weathersfield town,43,T1,G4040,A,112687152,1452148,+43.3921094,-072.4767836
50,027,83050,01462257,5002783050,0600000US5002783050,West Windsor,West Windsor town,43,T1,G4040,A,64025412,236018,+43.4714681,-072.5026184
50,027,84925,01462266,5002784925,0600000US5002784925,Windsor,Windsor town,43,T1,G4040,A,50267370,720120,+43.4753566,-072.4210454
50,027,85975,01462272,5002785975,0600000US5002785975,Woodstock,Woodstock town,43,T1,G4040,A,114095175,734946,+43.5943771,-072.5482791
50,027,69550,01462214,5002769550,0600000US5002769550,Springfield,Springfield town,43,T1,G4040,A,127458768,1097226,+43.2920286,-072.4804181
50,027,82000,01462255,5002782000,0600000US5002782000,Weston,Weston town,43,T1,G4040,A,91611397,509317,+43.3214411,-072.8029029
50,021,07750,01462048,5002107750,0600000US5002107750,Brandon,Brandon town,43,T1,G4040,A,102913147,580731,+43.8053476,-073.0753206
50,021,11950,01462065,5002111950,0600000US5002111950,Castleton,Castleton town,43,T1,G4040,A,100858959,8939647,+43.6527570,-073.1612225
50,023,44500,01462147,5002344500,0600000US5002344500,Middlesex,Middlesex town,43,T1,G4040,A,102280224,789582,+44.3189986,-072.6319489
50,021,14350,01462071,5002114350,0600000US5002114350,Chittenden,Chittenden town,43,T1,G4040,A,188383539,3174076,+43.7776683,-072.8968499
50,021,05200,01462040,5002105200,0600000US5002105200,Benson,Benson town,43,T1,G4040,A,113651207,3971123,+43.7100625,-073.3029764
50,021,44800,01462148,5002144800,0600000US5002144800,Middletown Springs,Middletown Springs town,43,T1,G4040,A,58791398,24301,+43.4872223,-073.1254306
